"id","Station","lat","lon"
"HR4","Heathrow Terminal 4",51.458524,-0.445771
"HR5","Heathrow Terminal 5",51.470052,-0.49056
"HRC","Heathrow Terminals 1-2-3 ",51.471235,-0.452265
"HWC","Hounslow Central",51.471295,-0.366578
"HWE","Hounslow East",51.473213,-0.356474
"HWT","Hounslow West",51.473469,-0.386544
"HWY","Holloway Road",51.552697,-0.113244
"KNB","Knightsbridge",51.501669,-0.160508
"MRH","Manor House",51.570738,-0.096118
"NEN","North Ealing",51.517505,-0.288868
"NFD","Northfields",51.499319,-0.314719
"OAK","Oakwood",51.647726,-0.132182
"OSY","Osterley",51.481274,-0.352224
"PKR","Park Royal",51.527123,-0.284341
"RSQ","Russell Square",51.523073,-0.124285
"SEA","South Ealing",51.501003,-0.307424
"SGT","Southgate",51.632315,-0.127816
"SHH","South Harrow",51.564888,-0.352492
"SUH","Sudbury Hill",51.556946,-0.336435
"SUT","Sudbury Town",51.550815,-0.315745
"TPN","Turnpike Lane",51.590272,-0.102953
"WOG","Wood Green",51.597479,-0.109886
"BLR","Blackhorse Road",51.586919,-0.04115
"BXN","Brixton",51.462618,-0.114888
"HAI","Highbury & Islington",51.54635,-0.103324
"PCO","Pimlico",51.489097,-0.133761
"SVS","Seven Sisters",51.58333,-0.072584
"TMH","Tottenham Hale",51.588108,-0.060241
"VXL","Vauxhall",51.485743,-0.124204
"WWL","Walthamstow Central",51.582965,-0.019885
